=== 최근 20개 단지 목록 ===
[1] 남울산 노르웨이숲(조합원 취소분) | ID: 2026000004 | 공고: 2026000004 | 일자: 2026-01-16
[2] 서귀포시 서홍동 형남아파트6차 | ID: 2025000639 | 공고: 2025000639 | 일자: 2026-01-16
[3] 드파인 연희 | ID: 2025000660 | 공고: 2025000660 | 일자: 2026-01-09
[4] 사우역 지엔하임 | ID: 2025000656 | 공고: 2025000656 | 일자: 2026-01-09
[5] 북오산자이 리버블시티 | ID: 2025000628 | 공고: 2025000628 | 일자: 2026-01-09
[6] 힐스테이트 물금센트럴 | ID: 2025000650 | 공고: 2025000650 | 일자: 2025-12-31
[7] 인천영종지구 A24블록 공공분양주택(본청약) | ID: 2025000642 | 공고: 2025000642 | 일자: 2025-12-31
[8] 더샵 분당센트로 | ID: 2025000595 | 공고: 2025000595 | 일자: 2025-12-31
[9] 과천주암지구 C1블록 신혼희망타운(공공분양)(본청약) | ID: 2025820020 | 공고: 2025820020 | 일자: 2025-12-30
[10] 남양주진접2 지구 A-3블록 신혼희망타운(공공분양)(본청약) | ID: 2025820019 | 공고: 2025820019 | 일자: 2025-12-30
[11] 과천주암지구 C1블록 공공분양주택(본청약) | ID: 2025000659 | 공고: 2025000659 | 일자: 2025-12-30
[12] 울산다운2지구 A-10블록 공공분양주택 | ID: 2025000649 | 공고: 2025000649 | 일자: 2025-12-30
[13] 남양주진접2지구 B-1블록 공공분양(본청약) | ID: 2025000644 | 공고: 2025000644 | 일자: 2025-12-30
[14] 구리갈매역세권 A-4블록 6년 분양전환공공임대주택(본청약) | ID: 2025000647 | 공고: 2025000647 | 일자: 2025-12-29
[15] 구리갈매역세권 A-4블록 공공분양주택(본청약) | ID: 2025000646 | 공고: 2025000646 | 일자: 2025-12-29
[16] 김포고촌2지구 A1블록 공공분양주택 | ID: 2025000643 | 공고: 2025000643 | 일자: 2025-12-29
[17] 강릉역 경남아너스빌 더 센트로(조합원 취소분) | ID: 2025000640 | 공고: 2025000640 | 일자: 2025-12-26
[18] 해남 남외리 정하 에코프라임 | ID: 2025000624 | 공고: 2025000624 | 일자: 2025-12-26
[19] 전주 에코시티 더 클래스 | ID: 2025000620 | 공고: 2025000620 | 일자: 2025-12-23
[20] 영종하늘도시 대라수 어썸(A50BL) | ID: 2025000617 | 공고: 2025000617 | 일자: 2025-12-22
